candidate,subset,count,reference_bac,candidate_bac,delta_vs_reference,changed_rows_vs_reference
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_m,303323,0.915165667672622,0.9150252127986557,-0.0001404548739663003,98
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_core,475101,0.971041289520517,0.9711342362025578,9.294668204073986e-05,181
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,good_not_weak,329290,0.968032903420478,0.9681062318103031,7.332838982510026e-05,110
rollback_weak_gk_red_to_56_te_disagreement,weak_ur6,57735,0.9478036745801539,0.9477651392587821,-3.853532137176874e-05,15
rollback_weak_gk_red_to_56_te_disagreement,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
rollback_weak_gk_red_to_56_te_disagreement,weak_gk_red,44628,0.9575979896437724,0.9575979896437724,0.0,0
rollback_weak_gk_red_to_56_te_disagreement,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
rollback_weak_gk_red_to_56_te_disagreement,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
rollback_weak_gk_red_to_56_te_disagreement,good_rz2,57734,0.8740247603722469,0.8742835169379362,0.00025875656568929983,47
rollback_weak_gk_red_to_56_te_disagreement,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
rollback_weak_gk_red_to_56_te_disagreement,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
rollback_weak_gk_red_to_56_te_disagreement,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
rollback_weak_gk_red_to_56_te_disagreement,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
rollback_weak_gk_red_to_56_te_disagreement,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,97
rollback_weak_gk_red_to_56_te_disagreement,weak_core,219558,0.9617912317177137,0.9619315329934001,0.00014030127568631645,76
rollback_weak_gk_red_to_56_te_disagreement,good_core,475101,0.971041289520517,0.971136424996167,9.513547564998781e-05,176
rollback_weak_gk_red_to_56_te_disagreement,good_not_weak,329290,0.968032903420478,0.968104944117938,7.204069746002961e-05,109
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_mag2,57734,0.9182853784281774,0.918707880371841,0.0004225019436636668,37
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_gi2,57734,0.8980329751688938,0.8985553437956609,0.0005223686267671335,32
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_rz2,57734,0.8740247603722469,0.8742940389855587,0.0002692786133118297,51
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,58
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_ur1,57735,0.9315997295302373,0.9320045943999996,0.0004048648697623225,33
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_high_gi,173204,0.8866548535902538,0.8866253359907912,-2.95175994625696e-05,34
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_m,303323,0.915165667672622,0.9149983158491516,-0.00016735182347038524,97
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,weak_core,219558,0.9617912317177137,0.9619350810833867,0.00014384936567291007,84
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_core,475101,0.971041289520517,0.9711300070881285,8.871756761141825e-05,182
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,good_not_weak,329290,0.968032903420478,0.9680955534515773,6.265003109928724e-05,110
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_ur6,57735,0.9478036745801539,0.947268087746543,-0.0005355868336108793,21
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_ob,43356,0.8713893931929476,0.8721403002371261,0.0007509070441784615,15
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_gk_red,44628,0.9575979896437724,0.957396703361647,-0.00020128628212545685,13
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_mag2,57734,0.9182853784281774,0.918707880371841,0.0004225019436636668,39
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_gi2,57734,0.8980329751688938,0.8985731600153581,0.0005401848464643422,34
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_rz2,57734,0.8740247603722469,0.8742818744931057,0.0002571141208588257,54
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_af_blue,111542,0.9138900933000862,0.9145540943659068,0.0006640010658206519,58
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_ur1,57735,0.9315997295302373,0.9320045943999996,0.0004048648697623225,33
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_mag0,57735,0.7067134689273241,0.7079999189985339,0.0012864500712097549,15
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_high_gi,173204,0.8866548535902538,0.8868140569224273,0.00015920333217356308,42
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_m,303323,0.915165667672622,0.9150348630468795,-0.00013080462574244223,102
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,weak_core,219558,0.9617912317177137,0.961941315791829,0.00015008407411520874,96
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_core,475101,0.971041289520517,0.9711273839835868,8.609446306973023e-05,188
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,good_not_weak,329290,0.968032903420478,0.9680908054339455,5.7902013467558966e-05,116
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,97
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_core,475101,0.971041289520517,0.9711332160421478,9.192652163070303e-05,180
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,good_not_weak,329290,0.968032903420478,0.968104944117938,7.204069746002961e-05,109
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,97
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_core,475101,0.971041289520517,0.9711332160421478,9.192652163070303e-05,180
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,good_not_weak,329290,0.968032903420478,0.968104944117938,7.204069746002961e-05,109
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,97
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_core,475101,0.971041289520517,0.9711332160421478,9.192652163070303e-05,180
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,good_not_weak,329290,0.968032903420478,0.968104944117938,7.204069746002961e-05,109
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_af_blue,111542,0.9138900933000862,0.9145319844469159,0.0006418911468296651,56
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_ur1,57735,0.9315997295302373,0.9320292912462125,0.00042956171597519077,32
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_mag0,57735,0.7067134689273241,0.7079936793719132,0.001280210444589036,14
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,97
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,weak_core,219558,0.9617912317177137,0.9619383480643369,0.00014711634662312179,81
