candidate,class,precision,recall,f1,support
classblend_68_research_material_stack_GALAXY_a0p0300,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_GALAXY_a0p0350,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_GALAXY_a0p0350,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_GALAXY_a0p0350,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_STAR_a0p0300,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_STAR_a0p0300,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_STAR_a0p0300,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_STAR_a0p0350,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_STAR_a0p0350,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_STAR_a0p0350,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0100,GALAXY,0.9907942425749882,0.9602892868496344,0.9753032940600375,377480
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0100,QSO,0.9518788614573546,0.9771988082941362,0.9643726674585724,117143
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0100,STAR,0.8836238079579086,0.9744814080557033,0.9268312312450417,82724
classblend_90_subset_guard_68_plus_84_QSO_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_90_subset_guard_68_plus_84_QSO_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_90_subset_guard_68_plus_84_QSO_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_90_subset_guard_68_plus_84_QSO_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_QSO_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_90_subset_guard_68_plus_84_QSO_a0p0150,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_90_subset_guard_68_plus_84_QSO_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_QSO_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_90_subset_guard_68_plus_84_QSO_a0p0200,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_90_subset_guard_68_plus_84_QSO_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_QSO_a0p0200,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_90_subset_guard_68_plus_84_QSO_a0p0250,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_90_subset_guard_68_plus_84_QSO_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_QSO_a0p0250,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_QSO_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_84_classwise_research_blend_QSO_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_QSO_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_84_classwise_research_blend_QSO_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_QSO_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_84_classwise_research_blend_QSO_a0p0150,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_84_classwise_research_blend_QSO_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_QSO_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_68_research_material_stack_QSO_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_68_research_material_stack_QSO_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_68_research_material_stack_QSO_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_68_research_material_stack_QSO_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_QSO_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_68_research_material_stack_QSO_a0p0150,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_68_research_material_stack_QSO_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_QSO_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_68_research_material_stack_QSO_a0p0200,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_68_research_material_stack_QSO_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_QSO_a0p0200,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_68_research_material_stack_QSO_a0p0250,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_68_research_material_stack_QSO_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
